  213161553 function calls (209607226 primitive calls) in 191.802 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    22895    0.234    0.000    0.234    0.000 {built-in method posix.stat}
     3067    0.009    0.000    0.232    0.000 document.py:752(_validate_links)
      128    0.001    0.000    0.231    0.002 data.py:144(_get_time_zone)
      128    0.001    0.000    0.229    0.002 database.py:892(get_system_setting)
        8    0.000    0.000    0.229    0.029 __init__.py:793(delete_doc)
     5376    0.227    0.000    0.229    0.000 {built-in method _pickle.dumps}
        8    0.000    0.000    0.228    0.028 delete_doc.py:26(delete_doc)
  1405691    0.225    0.000    0.225    0.000 {built-in method _thread.get_ident}
       22    0.000    0.000    0.223    0.010 page.py:44(on_update)
    56320    0.142    0.000    0.223    0.000 cursors.py:341(_do_get_result)
   257285    0.223    0.000    0.223    0.000 {method 'translate' of 'str' objects}
    62066    0.048    0.000    0.218    0.000 locale.py:575(getlocale)
      361    0.001    0.000    0.216    0.001 meta.py:115(<listcomp>)
     7054    0.214    0.000    0.214    0.000 database.py:772(<listcomp>)
5165/5056    0.104    0.000    0.214    0.000 {built-in method builtins.__build_class__}
      317    0.013    0.000    0.212    0.001 create_new.py:51(set_user_and_static_default_values)
        5    0.000    0.000    0.211    0.042 user.py:1036(create_contact)
     2742    0.016    0.000    0.211    0.000 __init__.py:299(loads)
        1    0.000    0.000    0.210    0.210 setup_wizard.py:221(add_all_roles_to)
      850    0.001    0.000    0.207    0.000 client.py:972(get)
            850    0.001    0.000    0.207    0.000 client.py:972(get)
        7    0.001    0.000    0.206    0.029 portal_settings.py:27(sync_menu)
        1    0.000    0.000    0.206    0.206 api.py:104(post)
        1    0.000    0.000    0.206    0.206 api.py:16(request)
        1    0.000    0.000    0.204    0.204 sessions.py:466(request)
    56510    0.070    0.000    0.203    0.000 __init__.py:918(get_doc_hooks)
        1    0.000    0.000    0.200    0.200 sessions.py:617(send)
       17    0.000    0.000    0.200    0.012 website_generator.py:14(__init__)
        1    0.000    0.000    0.199    0.199 adapters.py:394(send)
      974    0.046    0.000    0.199    0.000 schema.py:64(get_columns_from_docfields)
        1    0.000    0.000    0.198    0.198 connectionpool.py:494(urlopen)
        4    0.000    0.000    0.197    0.049 portal_settings.py:42(clear_cache)
        1    0.000    0.000    0.197    0.197 connectionpool.py:351(_make_request)
        1    0.000    0.000    0.193    0.193 install.py:69(create_print_zero_amount_taxes_custom_field)
     2742    0.013    0.000    0.193    0.000 decoder.py:332(decode)
        1    0.000    0.000    0.189    0.189 install.py:86(simple_payments_user_role)
     1792    0.014    0.000    0.188    0.000 base_document.py:438(get_invalid_links)
        5    0.000    0.000    0.187    0.037 user.py:53(validate)
      164    0.001    0.000    0.186    0.001 translate.py:262(clear_cache)
   399353    0.180    0.000    0.181    0.000 {method 'encode' of 'str' objects}
    28014    0.092    0.000    0.175    0.000 protocol.py:308(__init__)
        2    0.000    0.000    0.171    0.085 api.py:5(<module>)
      158    0.002    0.000    0.169    0.001 database.py:611(set_value)
        1    0.000    0.000    0.169    0.169 install.py:59(create_compact_item_print_custom_field)
        1    0.000    0.000    0.166    0.166 install.py:356(setup_reports2)
     2742    0.153    0.000    0.165    0.000 decoder.py:343(raw_decode)
3446/3430    0.009    0.000    0.165    0.000 <frozen importlib._bootstrap>:576(module_from_spec)
     1038    0.095    0.000    0.163    0.000 doctype.py:510(prepare_for_import)
        5    0.000    0.000    0.162    0.032 user.py:700(ask_pass_update)
        1    0.000    0.000    0.162    0.162 worksheet.py:3(<module>)
        1    0.000    0.000    0.162    0.162 dropbox_settings.py:5(<module>)
        1    0.000    0.000    0.160    0.160 dropbox.py:2(<module>)
        5    0.000    0.000    0.160    0.032 __init__.py:209(set_default)
        1    0.000    0.000    0.159    0.159 setup_db.py:88(bootstrap_database)
60323/3006    0.072    0.000    0.157    0.000 copy.py:132(deepcopy)
    48647    0.156    0.000    0.156    0.000 {method 'split' of 'str' objects}
     3067    0.004    0.000    0.155    0.000 document.py:957(reset_seen)
    18605    0.028    0.000    0.154    0.000 base_document.py:532(_validate_selects)
   463199    0.154    0.000    0.154    0.000 converters.py:53(escape_int)
      128    0.000    0.000    0.153    0.001 database.py:893(_load_system_settings)
        1    0.000    0.000    0.152    0.152 education_settings.py:20(on_update)
           136020    0.106    0.000    0.152    0.000 random.py:224(_randbelow)
     1318    0.004    0.000    0.152    0.000 __init__.py:876(get_module_list)
    16115    0.011    0.000    0.150    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
     9744    0.118    0.000    0.150    0.000 encoder.py:204(iterencode)
      135    0.000    0.000    0.146    0.001 issue.py:35(on_update)
        3    0.000    0.000    0.146    0.049 issue.py:96(create_communication)
    69810    0.097    0.000    0.145    0.000 types.py:164(__get__)
        1    0.000    0.000    0.144    0.144 __init__.py:108(<module>)
        9    0.001    0.000    0.144    0.016 doctype.py:1144(<listcomp>)
    56334    0.046    0.000    0.144    0.000 cursors.py:106(nextset)
    31604    0.028    0.000    0.143    0.000 re.py:217(findall)
   115628    0.141    0.000    0.141    0.000 {built-in method posix.getpid}
      198    0.001    0.000    0.139    0.001 utils.py:11(delete_page_cache)
    13530    0.021    0.000    0.138    0.000 cursors.py:127(<dictcomp>)
        1    0.000    0.000    0.136    0.136 base.py:6(<module>)
      942    0.027    0.000    0.136    0.000 schema.py:42(get_column_definitions)
      135    0.001    0.000    0.135    0.001 issue.py:24(validate)
        2    0.011    0.005    0.135    0.068 cell.py:1(<module>)
     3066    0.007    0.000    0.134    0.000 document.py:730(_validate_mandatory)
    62066    0.038    0.000    0.131    0.000 locale.py:467(_parse_localename)
      282    0.001    0.000    0.129    0.000 redis_wrapper.py:104(delete_keys)
      282    0.001    0.000    0.128    0.000 redis_wrapper.py:94(get_keys)
       23    0.000    0.000    0.125    0.005 utils.py:106(sync)
      191    0.000    0.000    0.125    0.001 report.py:45(before_insert)
       23    0.001    0.000    0.125    0.005 utils.py:110(sync_single_doctype)
      191    0.000    0.000    0.125    0.001 report.py:58(set_doctype_roles)
      282    0.000    0.000    0.124    0.000 client.py:1030(keys)
      178    0.001    0.000    0.124    0.001 router.py:87(clear_sitemap)
        1    0.000    0.000    0.123    0.123 install.py:739(add_role_profile)
    18939    0.120    0.000    0.120    0.000 base_document.py:323(<listcomp>)
        1    0.000    0.000    0.118    0.118 user.py:387(add_roles)
    81174    0.117    0.000    0.117    0.000 {method 'match' of 're.Pattern' objects}
        1    0.000    0.000    0.116    0.116 connectionpool.py:986(_validate_conn)
        1    0.000    0.000    0.116    0.116 connection.py:332(connect)
   433378    0.115    0.000    0.115    0.000 {method 'startswith' of 'str' objects}
     3385    0.074    0.000    0.115    0.000 <frozen importlib._bootstrap_external>:914(get_data)
     1745    0.027    0.000    0.114    0.000 copy.py:269(_reconstruct)
        1    0.000    0.000    0.113    0.113 setup_db.py:102(import_db_from_sql)
        1    0.000    0.000    0.113    0.113 db_manager.py:63(restore_database)
        1    0.113    0.113    0.113    0.113 {built-in method posix.system}
    18605    0.026    0.000    0.113    0.000 base_document.py:645(_sanitize_content)
        18605    0.026    0.000    0.113    0.000 base_document.py:645(_sanitize_content)
    64758    0.058    0.000    0.112    0.000 {method '_checkReadable' of '_io._IOBase' objects}
   256477    0.111    0.000    0.111    0.000 {method 'unpack_from' of 'Struct' objects}
        1    0.000    0.000    0.108    0.108 install.py:815(add_permisions_to_report)
    12014    0.017    0.000    0.108    0.000 doctype.py:911(check_illegal_depends_on_conditions)
        1    0.000    0.000    0.106    0.106 install.py:79(create_default_cash_flow_mapper_templates)
    13420    0.046    0.000    0.104    0.000 database.py:309(build_conditions)
    11020    0.019    0.000    0.103    0.000 schema.py:176(get_definition)
        1    0.000    0.000    0.101    0.101 appointment_booking_settings.py:20(save)
        2    0.000    0.000    0.101    0.050 portal_settings.py:39(on_update)
    18605    0.020    0.000    0.100    0.000 base_document.py:581(_validate_length)
     3074    0.005    0.000    0.099    0.000 document.py:909(load_doc_before_save)
   157759    0.098    0.000    0.099    0.000 {method 'join' of 'str' objects}
    56334    0.077    0.000    0.099    0.000 cursors.py:89(_nextset)
     1564    0.019    0.000    0.098    0.000 __init__.py:376(update_progress_bar)
   562918    0.097    0.000    0.097    0.000 {built-in method _operator.contains}
        1    0.000    0.000    0.096    0.096 install.py:114(simple_payments_manager_role)
     5275    0.007    0.000    0.096    0.000 genericpath.py:16(exists)
    56335    0.095    0.000    0.095    0.000 connections.py:1053(__init__)
        8    0.000    0.000    0.095    0.012 install.py:954(add_to_custom_role)
    57814    0.068    0.000    0.094    0.000 connection.py:229(purge)
    62066    0.064    0.000    0.093    0.000 locale.py:384(normalize)
       11    0.000    0.000    0.092    0.008 __init__.py:548(only_for)
       32    0.001    0.000    0.092    0.003 schema.py:154(setup_table_columns)
       11    0.000    0.000    0.092    0.008 __init__.py:417(get_roles)
        1    0.000    0.000    0.091    0.091 install.py:91(create_default_energy_point_rules)
       32    0.000    0.000    0.090    0.003 database.py:234(get_table_columns_description)
        3    0.000    0.000    0.090    0.030 print_settings.py:13(on_update)
        1    0.000    0.000    0.089    0.089 utils.py:124(send_heartbeat)
     3446    0.021    0.000    0.089    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
        1    0.000    0.000    0.087    0.087 utils.py:162(get_heartbeat_data)
       11    0.000    0.000    0.086    0.008 __init__.py:411(get_user)
     4647    0.023    0.000    0.086    0.000 {method 'astimezone' of 'datetime.datetime' objects}
      145    0.001    0.000    0.086    0.001 base_document.py:346(db_update)
        5    0.000    0.000    0.086    0.017 user.py:18(__init__)
        5    0.000    0.000    0.085    0.017 user.py:40(setup_user)
     1745    0.012    0.000    0.085    0.000 create_new.py:110(set_dynamic_default_values)
        1    0.000    0.000    0.085    0.085 utils.py:186(get_installed_apps)
        1    0.001    0.001    0.084    0.084 change_log.py:85(get_versions)
        3    0.000    0.000    0.084    0.028 install.py:373(add_as_query_report)
     1261    0.027    0.000    0.084    0.000 db_query.py:177(parse_args)
     214373/214371    0.083    0.000    0.084    0.000 {method 'join' of 'bytes' objects}
    12929    0.006    0.000    0.083    0.000 re.py:234(compile)
       83    0.000    0.000    0.082    0.001 utils.py:111(_insert)
    51426    0.029    0.000    0.082    0.000 meta.py:166(get_valid_columns)
        1    0.000    0.000    0.082    0.082 install.py:394(setup_occupancy_status_report)
        3    0.000    0.000    0.081    0.027 user.py:50(after_insert)
        3    0.000    0.000    0.081    0.027 notification_settings.py:37(create_notification_settings)
        1    0.000    0.000    0.081    0.081 client.py:1325(getresponse)
        1    0.000    0.000    0.081    0.081 client.py:303(begin)
      164    0.001    0.000    0.081    0.000 cache_manager.py:45(clear_domain_cache)
        1    0.000    0.000    0.080    0.080 client.py:270(_read_status)
       21    0.000    0.000    0.080    0.004 {method 'readline' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.080    0.080 pyopenssl.py:311(recv_into)
        1    0.000    0.000    0.080    0.080 SSL.py:1795(recv_into)
        1    0.080    0.080    0.080    0.080 {built-in method _openssl.SSL_read}
        3    0.000    0.000    0.080    0.027 docshare.py:42(after_insert)
        1    0.000    0.000    0.079    0.079 communication.py:4(<module>)
        1    0.000    0.000    0.079    0.079 install.py:678(add_issues_manager_role)
   305704    0.079    0.000    0.079    0.000 {method 'lower' of 'str' objects}
     8521    0.009    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
        1    0.000    0.000    0.079    0.079 install.py:363(add_as_report_builder)
    56509    0.034    0.000    0.079    0.000 server_script_utils.py:28(run_server_script_for_doc_event)
       20    0.000    0.000    0.078    0.004 document.py:348(update_children)
       16    0.001    0.000    0.078    0.005 document.py:353(update_child_table)
       54    0.000    0.000    0.078    0.001 __init__.py:51(_)
        7    0.000    0.000    0.077    0.011 change_log.py:118(get_app_branch)
    11852    0.024    0.000    0.077    0.000 schema.py:294(get_definition)
    12014    0.008    0.000    0.077    0.000 doctype.py:697(check_illegal_characters)
        1    0.000    0.000    0.077    0.077 email.py:4(<module>)
        7    0.000    0.000    0.077    0.011 subprocess.py:367(check_output)
        7    0.000    0.000    0.077    0.011 subprocess.py:447(run)
        1    0.000    0.000    0.077    0.077 email_body.py:4(<module>)
   225323    0.076    0.000    0.076    0.000 cursors.py:71(_get_db)
       54    0.000    0.000    0.076    0.001 translate.py:181(get_full_dict)
        2    0.000    0.000    0.076    0.038 website_settings.py:59(clear_cache)
        1    0.000    0.000    0.076    0.076 install.py:42(setup_generated_tokens_report)
       54    0.000    0.000    0.076    0.001 translate.py:250(get_user_translations)
        1    0.000    0.000    0.075    0.075 naming_series.py:206(get_default_naming_series)
     7260    0.005    0.000    0.075    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
       95    0.001    0.000    0.075    0.001 property_setter.py:30(delete_property_setter)
     1762    0.008    0.000    0.074    0.000 base_document.py:411(_get_missing_mandatory_fields)
           135    0.002    0.000    0.074    0.001 issue.py:41(set_lead_contact)
        1    0.000    0.000    0.074    0.074 install.py:199(set_payment_options)
     1509    0.013    0.000    0.073    0.000 base_document.py:93(update_if_missing)
    62126    0.073    0.000    0.073    0.000 {method 'groupdict' of 're.Match' objects}
        1    0.000    0.000    0.073    0.073 install.py:85(create_default_success_action)
        1    0.000    0.000    0.072    0.072 install.py:780(add_property_unit_manager_role)
    12014    0.006    0.000    0.071    0.000 doctype.py:714(check_fieldname_length)
     5630    0.010    0.000    0.071    0.000 <frozen importlib._bootstrap>:147(__enter__)
        1    0.000    0.000    0.071    0.071 connection.py:143(_new_conn)
        1    0.000    0.000    0.071    0.071 connection.py:33(create_connection)
    12080    0.012    0.000    0.070    0.000 schema.py:282(validate_column_name)
        2    0.000    0.000    0.070    0.035 __init__.py:7(<module>)
        1    0.000    0.000    0.069    0.069 install.py:245(update_erpnext_frappe_db_dependencies)
        1    0.000    0.000    0.068    0.068 pdf.py:3(<module>)
        1    0.000    0.000    0.068    0.068 permission_manager.py:49(get_permissions)
        1    0.000    0.000    0.068    0.068 permissions.py:329(get_all_perms)
        1    0.000    0.000    0.068    0.068 payment_request.py:5(<module>)
     3746    0.068    0.000    0.068    0.000 {method 'strftime' of 'datetime.date' objects}
    84642    0.060    0.000    0.066    0.000 protocol.py:186(is_ok_packet)
        3    0.000    0.000    0.066    0.022 excel.py:1(<module>)
    12014    0.009    0.000    0.065    0.000 doctype.py:785(check_unique_and_text)
    57819    0.031    0.000    0.065    0.000 _compat.py:150(byte_to_chr)
        3    0.000    0.000    0.065    0.022 user.py:41(get_user_doc)
    12014    0.018    0.000    0.065    0.000 schema.py:290(validate_column_length)
        7    0.000    0.000    0.064    0.009 subprocess.py:681(__init__)
        5    0.000    0.000    0.063    0.013 docshare.py:15(validate)
        7    0.001    0.000    0.063    0.009 subprocess.py:1412(_execute_child)
    18278    0.038    0.000    0.063    0.000 cell.py:76(_get_column_letter)
        8    0.000    0.000    0.063    0.008 docshare.py:25(get_doc)
        1    0.000    0.000    0.063    0.063 groupby.py:8(<module>)
     1258    0.006    0.000    0.062    0.000 <frozen importlib._bootstrap_external>:1404(_fill_cache)
     1378    0.062    0.000    0.062    0.000 {built-in method posix.listdir}
   445588    0.060    0.000    0.060    0.000 doctype.py:518(<lambda>)
      135    0.001    0.000    0.060    0.000 issue.py:60(update_status)
     4647    0.025    0.000    0.060    0.000 tzinfo.py:193(fromutc)
        1    0.000    0.000    0.060    0.060 install.py:99(add_quarterly_option)
     6770    0.026    0.000    0.059    0.000 <frozen importlib._bootstrap_external>:271(cache_from_source)
    59/44    0.000    0.000    0.059    0.001 <frozen importlib._bootstrap_external>:1040(create_module)
        1    0.000    0.000    0.059    0.059 frame.py:12(<module>)
    59/44    0.034    0.001    0.059    0.001 {built-in method _imp.create_dynamic}
     1565    0.058    0.000    0.058    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        231323    0.058    0.000    0.058    0.000 {method 'seek' of '_io.BytesIO' objects}
        8    0.000    0.000    0.058    0.007 tag.py:106(delete_tags_for_document)
      179    0.001    0.000    0.058    0.000 sre_compile.py:759(compile)
        6    0.000    0.000    0.058    0.010 __init__.py:13(<module>)
    28013    0.041    0.000    0.058    0.000 cursors.py:299(fetchall)
    25479    0.022    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
        2    0.000    0.000    0.057    0.029 accounts_settings.py:14(on_update)
     3009    0.041    0.000    0.057    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.056    0.056 install.py:280(set_unit_contact_types)
        1    0.000    0.000    0.056    0.056 contact.py:254(get_contact_name)
    16121    0.048    0.000    0.056    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.056    0.056 install.py:130(simple_payments_admin_role)
        1    0.000    0.000    0.055    0.055 braintree_settings.py:5(<module>)
     8476    0.034    0.000    0.055    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
    32221    0.055    0.000    0.055    0.000 {method 'findall' of 're.Pattern' objects}
30023/12909    0.037    0.000    0.055    0.000 __init__.py:975(append_hook)
        1    0.000    0.000    0.055    0.055 install.py:253(add_property_unit_to_party_type)
     4297    0.008    0.000    0.054    0.000 <frozen importlib._bootstrap_external>:1203(_path_importer_cache)
     9294    0.024    0.000    0.054    0.000 __init__.py:123(timezone)
    64763    0.054    0.000    0.054    0.000 socket.py:614(readable)
    59518    0.054    0.000    0.054    0.000 {built-in method builtins.min}
    56497    0.053    0.000    0.053    0.000 {built-in method _struct.pack}
    56320    0.053    0.000    0.053    0.000 cursors.py:355(_show_warnings)
        1    0.000    0.000    0.052    0.052 install.py:300(set_unit_of_measurement)
    18595    0.052    0.000    0.052    0.000 {method 'replace' of 'datetime.datetime' objects}
       43    0.000    0.000    0.051    0.001 database.py:245(has_index)
   115629    0.051    0.000    0.051    0.000 {method 'endswith' of 'bytes' objects}
       16    0.000    0.000    0.051    0.003 website_generator.py:73(clear_cache)
    15869    0.041    0.000    0.051    0.000 database.py:319(_build_condition)
        1    0.000    0.000    0.050    0.050 nestedset.py:186(__setup__)
        1    0.000    0.000    0.050    0.050 permissions.py:465(setup_custom_perms)
     6829    0.007    0.000    0.050    0.000 <frozen importlib._bootstrap>:403(cached)
        1    0.000    0.000    0.050    0.050 permissions.py:496(copy_perms)
    64758    0.049    0.000    0.049    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      320    0.001    0.000    0.049    0.000 overrides.py:187(decorator)
        2    0.000    0.000    0.048    0.024 quickbooks_migrator.py:35(__init__)
    69798    0.048    0.000    0.048    0.000 enum.py:633(value)
        3    0.000    0.000    0.048    0.016 communication.py:116(on_update)
        3    0.000    0.000    0.048    0.016 email.py:176(update_parent_mins_to_first_response)
     1793    0.002    0.000    0.047    0.000 meta.py:128(get_link_fields)
     1258    0.017    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:1190(_path_hooks)
