  213161553 function calls (209607226 primitive calls) in 191.802 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
125116/120878    0.258    0.000    6.653    0.000 base_document.py:257(get_valid_columns)
        1    0.000    0.000    6.509    6.509 global_defaults.py:56(toggle_rounded_total)
    23734    0.110    0.000    6.151    0.000 redis_wrapper.py:193(hdel)
     3066    0.071    0.000    6.142    0.002 document.py:460(_validate)
    12466    0.028    0.000    6.134    0.000 database.py:373(get_value)
3402548/254296    1.214    0.000    5.942    0.000 base_document.py:133(set)
    23734    0.042    0.000    5.777    0.000 client.py:1953(hdel)
7414/7370    0.031    0.000    5.771    0.001 base_document.py:170(extend)
60617/60172    0.104    0.000    5.745    0.000 base_document.py:144(append)
     1745    0.006    0.000    5.643    0.003 __init__.py:689(new_doc)
     1745    0.011    0.000    5.634    0.003 create_new.py:17(get_new_doc)
60617/60172    0.236    0.000    5.613    0.000 base_document.py:180(_init_child)
      317    0.004    0.000    5.371    0.017 create_new.py:34(make_new_doc)
66190/35161    0.066    0.000    4.968    0.000 base_document.py:65(__init__)
66214/35230    1.092    0.000    4.877    0.000 base_document.py:79(update)
    14623    0.104    0.000    4.794    0.000 redis_wrapper.py:114(delete_value)
        1    0.000    0.000    4.649    4.649 installer.py:13(install_db)
        1    0.000    0.000    4.626    4.626 __init__.py:9(setup_database)
        1    0.000    0.000    4.626    4.626 setup_db.py:33(setup_database)
        1    0.000    0.000    4.575    4.575 stock_settings.py:13(validate)
  2921001    2.288    0.000    4.551    0.000 __init__.py:1168(compare)
  6561282    2.539    0.000    4.514    0.000 protocol.py:150(read_length_encoded_integer)
    16965    0.034    0.000    4.473    0.000 client.py:935(delete)
        1    0.000    0.000    4.447    4.447 db_manager.py:44(drop_database)
  6152605    3.710    0.000    4.258    0.000 protocol.py:63(read)
        7    0.005    0.001    4.055    0.579 installer.py:201(set_all_patches_as_completed)
   200149    0.167    0.000    3.927    0.000 protocol.py:233(__init__)
     8158    0.039    0.000    3.876    0.000 realtime.py:106(emit_via_redis)
          3046    0.021    0.000    3.793    0.001 document.py:388(set_new_name)
   200149    0.796    0.000    3.704    0.000 protocol.py:237(_parse_field_descriptor)
  446/282    0.007    0.000    3.698    0.013 cache_manager.py:27(clear_user_cache)
        1    0.000    0.000    3.583    3.583 global_defaults.py:68(toggle_in_words)
    18958    0.157    0.000    3.537    0.000 naming.py:12(set_new_name)
     3060    0.086    0.000    3.432    0.001 global_search.py:228(update_global_search)
        3    0.000    0.000    3.335    1.112 __init__.py:1088(make_property_setter)
     7734    0.020    0.000    3.226    0.000 database.py:778(exists)
     1423    0.016    0.000    3.214    0.002 cache_manager.py:78(clear_single)
     8158    0.013    0.000    3.147    0.000 client.py:2029(publish)
        2    0.000    0.000    3.100    1.550 selling_settings.py:16(on_update)
        2    0.000    0.000    3.100    1.550 selling_settings.py:28(toggle_hide_tax_id)
   579565    0.479    0.000    3.083    0.000 local.py:345(__getattr__)
        7    0.001    0.000    3.082    0.440 utils.py:80(sync_customizations)
       14    0.001    0.000    3.075    0.220 utils.py:99(sync_customizations_for_doctype)
    56334    0.209    0.000    3.054    0.000 cursors.py:135(mogrify)
